index,topic,topic_name,topic0,topic1,topic2,topic3,topic4,topic5,title,category,rating,reviews,link,pop_score,unpop_score,pop_topic0,pop_topic1,pop_topic2,pop_topic3,pop_topic4,pop_topic5,unpop_topic0,unpop_topic1,unpop_topic2,unpop_topic3,unpop_topic4,unpop_topic5,img
198,0,Traditional sights,0.9734367728233336,0.0,0.02286318875849247,0.0,0.0,0.0,Whitehall,Sights & Landmarks,4.5,260.0,/Attraction_Review-g186338-d215638-Reviews-Whitehall-London_England.html,0.013239740070194949,0.10354062138299552,0.012888049846950349,0.0,0.00030270267633824346,0.0,0.0,0.0,0.1007902483351858,0.0,0.0023672687708510285,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/6a/66/df/whitehall.jpg
199,3,Food,0.06844813376665115,0.0,0.2647506892681122,0.6557723879814148,0.0,0.01079798210412264,London Victoria Station,Sights & Landmarks,4.0,536.0,/Attraction_Review-g186338-d8388711-Reviews-London_Victoria_Station-London_England.html,0.024556648249180482,0.044501231549449474,0.0016808567442205054,0.0,0.0065013895500851135,0.016103571863184712,0.0,0.00026516224833188543,0.003046026249877434,0.0,0.011781731725996608,0.029182678881296362,0.0,0.00048052350188237334,https://media-cdn.tripadvisor.com/media/photo-o/08/76/5b/f7/london-victoria-station.jpg
200,4,Nature,0.17041458189487454,0.05918687954545021,0.0,0.35753950476646423,0.40946948528289795,0.0,Kensington,Other,4.5,156.0,/Attraction_Review-g186338-d218012-Reviews-Kensington-London_England.html,0.007818744135941897,0.1727762021486176,0.0013324280128695404,0.0004627670673706883,0.0,0.002795509906260362,0.003201537136902806,0.0,0.029443584250541,0.010226084264890587,0.0,0.06177431775164725,0.07074658256292839,0.0,https://media-cdn.tripadvisor.com/media/photo-o/01/34/4a/e3/kensington.jpg
201,5,Performing arts,0.0,0.0,0.0,0.0,0.0,0.9995328783988952,Gielgud Theatre,Concerts & Shows,4.5,643.0,/Attraction_Review-g186338-d559167-Reviews-Gielgud_Theatre-London_England.html,0.033203600097299925,0.04168083732413095,0.0,0.0,0.0,0.0,0.0,0.03318808997846003,0.0,0.0,0.0,0.0,0.0,0.041661367304664715,https://media-cdn.tripadvisor.com/media/photo-o/02/53/05/41/gielgud-theatre.jpg
202,2,Walking tours,0.0,0.454430490732193,0.5340330004692078,0.0,0.0,0.0,Sherlock Holmes Museum,Museums,3.5,3194.0,/Attraction_Review-g186338-d211907-Reviews-Sherlock_Holmes_Museum-London_England.html,0.12924673639828105,0.00633203493475589,0.0,0.05873365784700525,0.0690220224396268,0.0,0.0,0.0,0.0,0.002877469742734509,0.0033815156152835323,0.0,0.0,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0e/88/a3/4d/photo5jpg.jpg
203,2,Walking tours,0.0,0.012605611234903336,0.4935819506645202,0.0651649534702301,0.3277960419654846,0.09862813353538513,Queen Elizabeth Olympic Park,Nature & Parks,4.0,1197.0,/Attraction_Review-g186338-d4025920-Reviews-Queen_Elizabeth_Olympic_Park-London_England.html,0.05518295861278104,0.019773519004447213,0.0,0.0006956149230644785,0.02723731235553595,0.0035959949303515093,0.01808875541721477,0.005442592210938999,0.0,0.0002492572933160344,0.009759852081717018,0.0012885404458675134,0.006481681265387086,0.0019502252728350953,https://media-cdn.tripadvisor.com/media/photo-w/05/b1/c9/9b/queen-elizabeth-olympic.jpg
204,5,Performing arts,0.016315246000885963,0.15520577132701874,0.017434442415833473,0.1164851188659668,0.0,0.6937552690505981,Wilton's Music Hall,Concerts & Shows,4.5,328.0,/Attraction_Review-g186338-d658728-Reviews-Wilton_s_Music_Hall-London_England.html,0.01678423741182194,0.08201004443758864,0.0002738389623111485,0.002605010513637629,0.0002926238206500875,0.001955113889990686,0.0,0.011644153141447646,0.0013380140495428481,0.012728432203499026,0.0014297993972670832,0.009552949774515731,0.0,0.056894900443650816,https://media-cdn.tripadvisor.com/media/photo-o/06/3d/77/ad/wiltons-music-hall.jpg
205,3,Food,0.4356607496738434,0.0,0.0,0.4425649642944336,0.059897027909755714,0.061644695699214935,Seven Dials,Other,4.5,221.0,/Attraction_Review-g186338-d501024-Reviews-Seven_Dials-London_England.html,0.011206866594850054,0.12186768687977782,0.004882391902207127,0.0,0.0,0.004959766514402295,0.0006712580012126428,0.0006908438809812286,0.053092967827061216,0.0,0.0,0.05393436849259409,0.007299512242335424,0.007512496473271113,https://media-cdn.tripadvisor.com/media/photo-o/0d/db/7d/df/christmas-at-the-dial.jpg
206,1,Art,0.08619160950183867,0.8113699555397034,0.0,0.0,0.0995568335056305,0.0,Leighton House Museum,Museums,4.5,677.0,/Attraction_Review-g186338-d211902-Reviews-Leighton_House_Museum-London_England.html,0.034975848768113424,0.039571853629824696,0.003014624699016597,0.028378352859947574,0.0,0.0,0.00348208475252518,0.0,0.003410761755325767,0.032107413120254516,0.0,0.0,0.003939648443333637,0.0,https://media-cdn.tripadvisor.com/media/photo-o/16/b8/10/fb/the-arab-hall-cleighton.jpg
207,1,Art,0.0,0.7196996212005615,0.11108030378818512,0.041393015533685684,0.1276445835828781,0.0,The Fan Museum,Museums,4.5,272.0,/Attraction_Review-g186338-d211730-Reviews-The_Fan_Museum-London_England.html,0.0138652396010703,0.09895885500879993,0.0,0.00997880768874532,0.0015401550269828635,0.0005739240781853769,0.0017698227351554496,0.0,0.0,0.0712206504642746,0.010992379676908463,0.004096205422575005,0.01263156183943668,0.0,https://media-cdn.tripadvisor.com/media/photo-o/0e/89/61/e7/photo0jpg.jpg
